Place_TractID,city_state,SFCount
0107000-01073010801,Birmingham_AL,1
0137000-01089011022,Huntsville_AL,1
0151000-01101005301,Montgomery_AL,1
0151000-01101005901,Montgomery_AL,1
0203000-02020001100,Anchorage_AK,1
0446000-04013817600,Mesa_AZ,1
0455000-04013113400,Phoenix_AZ,1
0455000-04013217300,Phoenix_AZ,1
0477000-04019004310,Tucson_AZ,1
0485540-04027011107,Yuma_AZ,1
0611530-06037543100,Carson_CA,1
0616000-06013315000,Concord_CA,1
0622230-06037431502,El Monte_CA,1
0624680-06071009202,Fontana_CA,1
0627000-06019000800,Fresno_CA,1
0627000-06019004506,Fresno_CA,1
0628000-06059086701,Fullerton_CA,1
0630000-06037300501,Glendale_CA,1
0641992-06001450752,Livermore_CA,2
0644000-06037980010,Los Angeles_CA,1
0648354-06099000402,Modesto_CA,1
0649670-06085504601,Mountain View_CA,8
0649670-06085510001,Mountain View_CA,1
0653000-06001982000,Oakland_CA,1
0654652-06111005002,Oxnard_CA,1
0656000-06037460401,Pasadena_CA,1
0659920-06089011600,Redding_CA,1
0660620-06013386000,Richmond_CA,1
0662000-06065042003,Riverside_CA,1
0662000-06065042214,Riverside_CA,1
0664000-06067004802,Sacramento_CA,1
0664000-06067005901,Sacramento_CA,2
0664224-06053000101,Salinas_CA,1
0665000-06071004104,San Bernardino_CA,1
0665000-06071007601,San Bernardino_CA,1
0667000-06075980600,San Francisco_CA,1
0668000-06085502001,San Jose_CA,1
0675000-06077002402,Stockton_CA,1
0677000-06085508101,Sunnyvale_CA,4
0680812-06099003603,Turlock_CA,1
0682590-06071009117,Victorville_CA,1
0685292-06037501002,Whittier_CA,1
0820000-08031001902,Denver_CO,3
0862000-08101000903,Pueblo_CO,1
0883835-08001009502,Westminster_CO,1
1216475-12011110600,Davie_FL,1
1224000-12011050207,Fort Lauderdale_FL,1
1224000-12011050308,Fort Lauderdale_FL,1
1225175-12001001908,Gainesville_FL,1
1235000-12031013906,Jacksonville_FL,5
1238250-12105012001,Lakeland_FL,1
1243975-12009065021,Melbourne_FL,1
1245000-12086001004,Miami_FL,1
1245000-12086001703,Miami_FL,2
1253000-12095012500,Orlando_FL,1
1253000-12095013201,Orlando_FL,1
1271000-12057011304,Tampa_FL,1
1271000-12057012002,Tampa_FL,7
1301052-13095010403,Albany_GA,1
1301052-13095010900,Albany_GA,2
1304204-13245001500,Augusta_GA,2
1349000-13021010300,Macon_GA,2
1714000-17031690500,Chicago_IL,2
1738570-17197883307,Joliet_IL,3
1765000-17201003711,Rockford_IL,3
1779293-17097861701,Waukegan_IL,3
1805860-18105000502,Bloomington_IN,3
1822000-18163001800,Evansville_IN,1
1825000-18003980001,Fort Wayne_IN,1
1827000-18089010900,Gary_IN,5
1836003-18097357500,Indianapolis_IN,3
1840788-18157010800,Lafayette_IN,1
1871000-18141011202,South Bend_IN,1
1921000-19153011028,Des Moines_IA,2
1982425-19013002604,Waterloo_IA,1
2052575-20091053801,Olathe_KS,1
2241155-22019001700,Lake Charles_LA,1
2255000-22071001500,New Orleans_LA,1
2404000-24510260303,Baltimore_MD,1
2634000-26081011600,Grand Rapids_MI,2
2634000-26081011801,Grand Rapids_MI,1
2642160-26077000202,Kalamazoo_MI,4
2646000-26065003400,Lansing_MI,1
2646000-26065003801,Lansing_MI,2
2669035-26125192800,Rochester Hills_MI,1
2829700-28047003101,Gulfport_MS,1
2935000-29095015100,Independence_MO,2
2970000-29077004201,Springfield_MO,1
3006550-30111001401,Billings_MT,1
3050200-30063000901,Missoula_MT,1
3137000-31055007303,Omaha_NE,1
3436000-34017006900,Jersey City_NJ,1
3451000-34013006400,Newark_NJ,4
3502000-35001004300,Albuquerque_NM,3
3539380-35013001102,Las Cruces_NM,1
3673000-36067000100,Syracuse_NY,1
3702140-37021002205,Asheville_NC,1
3712000-37119005615,Charlotte_NC,1
3714100-37025040703,Concord_NC,1
3722920-37051002401,Fayetteville_NC,2
3725580-37071033202,Gastonia_NC,2
3734200-37133001102,Jacksonville_NC,1
3755000-37183053712,Raleigh_NC,1
3755000-37183053721,Raleigh_NC,1
3918000-39049009331,Columbus_OH,1
3921000-39113001700,Dayton_OH,3
3921000-39113080700,Dayton_OH,1
4055000-40109107303,Oklahoma City_OK,1
4159000-41051010200,Portland_OR,2
4260000-42101038100,Philadelphia_PA,2
4513330-45019004400,Charleston_SC,1
4516000-45079011606,Columbia_SC,1
4550875-45019005400,North Charleston_SC,1
4561405-45091060906,Rock Hill_SC,1
4561405-45091061302,Rock Hill_SC,1
4714000-47065011700,Chattanooga_TN,1
4740000-47093005604,Knoxville_TN,1
4748000-47157004500,Memphis_TN,1
4748000-47157980100,Memphis_TN,1
4817000-48355005802,Corpus Christi_TX,1
4819000-48113015900,Dallas_TX,1
4819000-48113016703,Dallas_TX,1
4819000-48113019900,Dallas_TX,1
4827000-48439110500,Fort Worth_TX,1
4835000-48201231700,Houston_TX,3
4835000-48201233103,Houston_TX,1
4835000-48201350100,Houston_TX,1
4835000-48201412800,Houston_TX,1
4835000-48201452600,Houston_TX,1
4835000-48201552002,Houston_TX,1
4843888-48183010302,Longview_TX,1
4848072-48329010109,Midland_TX,2
4853388-48135000300,Odessa_TX,3
4865000-48029172007,San Antonio_TX,1
4865000-48029980100,San Antonio_TX,1
4943660-49011125403,Layton_UT,1
4955980-49057210402,Ogden_UT,1
4967000-49035110300,Salt Lake City_UT,1
4967000-49035111802,Salt Lake City_UT,1
4967000-49035114500,Salt Lake City_UT,2
5135000-51650011100,Hampton_VA,1
5157000-51710006601,Norfolk_VA,1
5164000-51740980100,Portsmouth_VA,4
5176432-51800075404,Suffolk_VA,1
5335415-53033028300,Kent_WA,3
5357745-53033026100,Renton_WA,1
5363000-53033026001,Seattle_WA,1
5363000-53033026500,Seattle_WA,4
5367000-53063011000,Spokane_WA,2
5367000-53063011202,Spokane_WA,1
5367000-53063012200,Spokane_WA,1
5370000-53053061602,Tacoma_WA,1
5370000-53053071705,Tacoma_WA,1
5374060-53011041110,Vancouver_WA,1
5380010-53077001300,Yakima_WA,1
5502375-55087013300,Appleton_WI,1
5531000-55009020704,Green Bay_WI,1
5553000-55079110100,Milwaukee_WI,1
5613900-56021000402,Cheyenne_WY,1
