SiteId,Latitude,Longitude,Sample Duration,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,State,County,City,index,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max,StateAbbr,city_state
11,33.553056,-86.815,24-HR BLK AVG,0,0.0,26.6,Alabama,Jefferson,Birmingham,69,0.0,1.0,0.078,AL,Birmingham_AL
15,33.499722,-86.924167,24 HOUR,0,0.0,22.0,Alabama,Jefferson,Birmingham,306,,,,AL,Birmingham_AL
17,33.521427,-86.844112,24 HOUR,0,0.0,23.1,Alabama,Jefferson,Birmingham,411,,,,AL,Birmingham_AL
25,34.68547,-86.58816,24 HOUR,0,0.0,18.5,Alabama,Madison,Huntsville,500,0.0,0.0,0.07,AL,Huntsville_AL
29,32.412811,-86.263394,24 HOUR,0,0.0,20.8,Alabama,Montgomery,Montgomery,564,0.0,0.0,0.06,AL,Montgomery_AL
38,33.189931,-87.484189,24 HOUR,0,0.0,20.5,Alabama,Tuscaloosa,Tuscaloosa,718,,,,AL,Tuscaloosa_AL
41,61.205861,-149.824602,24-HR BLK AVG,0,1.0,37.0,Alaska,Anchorage ,Anchorage,775,,,,AK,Anchorage_AK
43,61.3267,-149.569707,24-HR BLK AVG,0,0.0,21.2,Alaska,Anchorage ,Anchorage,790,,,,AK,Anchorage_AK
75,33.48378,-112.14256,24-HR BLK AVG,0,5.0,86.6,Arizona,Maricopa,Phoenix,1730,0.0,9.0,0.088,AZ,Phoenix_AZ
75,33.48378,-112.14256,24-HR BLK AVG,0,5.0,86.6,Arizona,Maricopa,Phoenix,1730,0.0,14.0,0.088,AZ,Phoenix_AZ
75,33.48378,-112.14256,24-HR BLK AVG,0,5.0,86.6,Arizona,Maricopa,Phoenix,1730,0.0,14.0,0.088,AZ,Phoenix_AZ
76,33.41018,-111.86536,24-HR BLK AVG,0,1.0,41.1,Arizona,Maricopa,Mesa,1769,0.0,21.0,0.082,AZ,Mesa_AZ
76,33.41018,-111.86536,24-HR BLK AVG,0,1.0,41.1,Arizona,Maricopa,Mesa,1769,0.0,16.0,0.082,AZ,Mesa_AZ
76,33.41018,-111.86536,24-HR BLK AVG,0,1.0,41.1,Arizona,Maricopa,Mesa,1769,0.0,21.0,0.082,AZ,Mesa_AZ
77,33.56031,-112.06619,24-HR BLK AVG,0,0.0,32.6,Arizona,Maricopa,Phoenix,1799,0.0,25.0,0.085,AZ,Phoenix_AZ
77,33.56031,-112.06619,24-HR BLK AVG,0,0.0,32.6,Arizona,Maricopa,Phoenix,1799,0.0,19.0,0.084,AZ,Phoenix_AZ
77,33.56031,-112.06619,24-HR BLK AVG,0,0.0,32.6,Arizona,Maricopa,Phoenix,1799,0.0,25.0,0.085,AZ,Phoenix_AZ
79,33.57453,-112.19193,24-HR BLK AVG,0,1.0,40.0,Arizona,Maricopa,Glendale,1844,0.0,4.0,0.079,AZ,Glendale_AZ
79,33.57453,-112.19193,24-HR BLK AVG,0,1.0,40.0,Arizona,Maricopa,Glendale,1844,0.0,2.0,0.077,AZ,Glendale_AZ
79,33.57453,-112.19193,24-HR BLK AVG,0,1.0,40.0,Arizona,Maricopa,Glendale,1844,0.0,4.0,0.079,AZ,Glendale_AZ
83,33.40314,-112.07526,24-HR BLK AVG,0,4.0,86.2,Arizona,Maricopa,Phoenix,1941,0.0,7.0,0.078,AZ,Phoenix_AZ
83,33.40314,-112.07526,24-HR BLK AVG,0,4.0,86.2,Arizona,Maricopa,Phoenix,1941,0.0,11.0,0.078,AZ,Phoenix_AZ
83,33.40314,-112.07526,24-HR BLK AVG,0,4.0,86.2,Arizona,Maricopa,Phoenix,1941,0.0,11.0,0.078,AZ,Phoenix_AZ
85,33.41123,-111.93471,24-HR BLK AVG,0,0.0,34.5,Arizona,Maricopa,Tempe,2053,0.0,0.0,0.068,AZ,Tempe_AZ
93,33.39623,-111.96799,24-HR BLK AVG,0,0.0,30.6,Arizona,Maricopa,Tempe,2164,,,,AZ,Tempe_AZ
96,33.488131,-111.855443,24 HOUR,0,0.0,18.1,Arizona,Maricopa,Scottsdale,2197,0.0,12.0,0.08,AZ,Scottsdale_AZ
96,33.488131,-111.855443,24 HOUR,0,0.0,18.1,Arizona,Maricopa,Scottsdale,2197,0.0,8.0,0.08,AZ,Scottsdale_AZ
96,33.488131,-111.855443,24 HOUR,0,0.0,18.1,Arizona,Maricopa,Scottsdale,2197,0.0,12.0,0.08,AZ,Scottsdale_AZ
104,33.4265,-112.11821,24-HR BLK AVG,0,4.0,54.6,Arizona,Maricopa,Phoenix,2327,,,,AZ,Phoenix_AZ
105,33.503833,-112.095767,24-HR BLK AVG,0,1.0,39.6,Arizona,Maricopa,Phoenix,2348,0.0,9.0,0.079,AZ,Phoenix_AZ
105,33.503833,-112.095767,24-HR BLK AVG,0,1.0,39.6,Arizona,Maricopa,Phoenix,2348,0.0,14.0,0.086,AZ,Phoenix_AZ
105,33.503833,-112.095767,24-HR BLK AVG,0,1.0,39.6,Arizona,Maricopa,Phoenix,2348,0.0,14.0,0.086,AZ,Phoenix_AZ
113,32.322661,-111.038389,24-HR BLK AVG,0,0.0,23.2,Arizona,Pima,Tucson,2902,,,,AZ,Tucson_AZ
123,32.29515,-110.9823,24-HR BLK AVG,0,0.0,21.7,Arizona,Pima,Tucson,3032,0.0,1.0,0.074,AZ,Tucson_AZ
149,32.690278,-114.61444,24-HR BLK AVG,0,2.0,51.0,Arizona,Yuma,Yuma,3518,0.0,10.0,0.079,AZ,Yuma_AZ
163,34.681343,-92.328697,24 HOUR,0,0.0,24.1,Arkansas,Pulaski,Little Rock,3849,,,,AR,Little Rock_AR
165,36.1797,-94.116827,24 HOUR,0,0.0,22.2,Arkansas,Washington,Springdale,3875,0.0,0.0,0.063,AR,Springdale_AR
167,37.687526,-121.784217,24-HR BLK AVG,0,2.0,41.5,California,Alameda,Livermore,3897,0.0,6.0,0.086,CA,Livermore_CA
168,37.743065,-122.169935,24-HR BLK AVG,0,7.0,70.2,California,Alameda,Oakland,3991,0.0,2.0,0.1,CA,Oakland_CA
169,37.814781,-122.282347,24-HR BLK AVG,0,7.0,56.0,California,Alameda,Oakland,4030,0.0,0.0,0.068,CA,Oakland_CA
170,37.793624,-122.263376,24-HR BLK AVG,0,8.0,70.8,California,Alameda,Oakland,4075,,,,CA,Oakland_CA
183,37.936013,-122.026154,24-HR BLK AVG,0,6.0,89.4,California,Contra Costa,Concord,4392,0.0,0.0,0.07,CA,Concord_CA
202,36.78538,-119.77321,24-HR BLK AVG,0,23.0,74.2,California,Fresno,Fresno,4870,0.0,64.0,0.112,CA,Fresno_CA
210,36.72639,-119.733,24 HOUR,0,9.0,88.3,California,Fresno,Fresno,5361,,,,CA,Fresno_CA
241,35.385574,-119.015009,24 HOUR,0,9.0,74.3,California,Kern,Bakersfield,6078,,,,CA,Bakersfield_CA
243,35.356615,-119.062613,24 HOUR,0,2.0,56.0,California,Kern,Bakersfield,6114,0.0,85.0,0.104,CA,Bakersfield_CA
245,35.324636,-118.997627,24 HOUR,0,10.0,80.1,California,Kern,Bakersfield,6421,,,,CA,Bakersfield_CA
265,34.06659,-118.22688,24 HOUR,0,1.0,37.5,California,Los Angeles,Los Angeles,7072,0.0,14.0,0.086,CA,Los Angeles_CA
267,33.901389,-118.205,24 HOUR,0,5.0,66.7,California,Los Angeles,Compton,7532,0.0,5.0,0.076,CA,Compton_CA
274,34.1326,-118.1272,24 HOUR,0,0.0,19.2,California,Los Angeles,Pasadena,7703,0.0,36.0,0.1,CA,Pasadena_CA
275,33.82376,-118.18921,24 HOUR,0,4.0,55.3,California,Los Angeles,Long Beach,7749,,,,CA,Long Beach_CA
276,33.79236,-118.17533,24-HR BLK AVG,0,8.0,59.4,California,Los Angeles,Long Beach,7764,,,,CA,Long Beach_CA
278,33.859662,-118.200707,24-HR BLK AVG,0,10.0,89.9,California,Los Angeles,Long Beach,7825,,,,CA,Long Beach_CA
281,34.669739,-118.130511,24-HR BLK AVG,0,0.0,26.6,California,Los Angeles,Lancaster,8020,0.0,43.0,0.087,CA,Lancaster_CA
304,36.694261,-121.623271,24-HR BLK AVG,0,1.0,42.2,California,Monterey,Salinas,8610,0.0,0.0,0.07,CA,Salinas_CA
308,33.83062,-117.93845,24-HR BLK AVG,0,9.0,56.2,California,Orange,Anaheim,8722,0.0,4.0,0.076,CA,Anaheim_CA
315,38.74643,-121.26498,24 HOUR,0,0.0,28.2,California,Placer,Roseville,8942,0.0,9.0,0.088,CA,Roseville_CA
330,33.70853,-116.21537,24 HOUR,0,0.0,18.8,California,Riverside,Indio,9272,0.0,44.0,0.093,CA,Indio_CA
341,38.56844,-121.49311,24 HOUR,0,2.0,44.5,California,Sacramento,Sacramento,10216,0.0,3.0,0.077,CA,Sacramento_CA
345,38.593322,-121.503795,24 HOUR,0,2.0,46.9,California,Sacramento,Sacramento,10485,,,,CA,Sacramento_CA
355,34.030833,-117.61722,24-HR BLK AVG,0,7.0,51.3,California,San Bernardino,Ontario,10675,,,,CA,Ontario_CA
356,34.510961,-117.32554,24-HR BLK AVG,0,0.0,29.3,California,San Bernardino,Victorville,10708,0.0,17.0,0.081,CA,Victorville_CA
361,34.10002,-117.49201,24 HOUR,0,1.0,39.2,California,San Bernardino,Fontana,10833,0.0,49.0,0.118,CA,Fontana_CA
366,34.106678,-117.274063,24 HOUR,0,1.0,38.2,California,San Bernardino,San Bernardino,11042,0.0,112.0,0.136,CA,San Bernardino_CA
369,32.631242,-117.059088,24 HOUR,0,1.0,42.7,California,San Diego,Chula Vista,11130,0.0,1.0,0.074,CA,Chula Vista_CA
376,32.845709,-117.123964,24 HOUR,0,0.0,27.4,California,San Diego,San Diego,11408,0.0,6.0,0.083,CA,San Diego_CA
378,32.789565,-116.944308,24 HOUR,0,0.0,31.8,California,San Diego,El Cajon,11447,0.0,9.0,0.081,CA,El Cajon_CA
382,37.765946,-122.399044,24-HR BLK AVG,0,7.0,49.9,California,San Francisco,San Francisco,11636,0.0,0.0,0.054,CA,San Francisco_CA
383,37.950741,-121.268523,24-HR BLK AVG,0,21.0,51.5,California,San Joaquin,Stockton,11749,0.0,2.0,0.079,CA,Stockton_CA
384,37.793392,-121.247874,24-HR BLK AVG,0,9.0,50.0,California,San Joaquin,Manteca,11853,,,,CA,Manteca_CA
397,37.482934,-122.20337,24-HR BLK AVG,0,6.0,60.8,California,San Mateo,Redwood City,12020,0.0,2.0,0.086,CA,Redwood City_CA
400,34.427775,-119.691218,24-HR BLK AVG,0,13.0,231.6,California,Santa Barbara,Santa Barbara,12091,0.0,0.0,0.07,CA,Santa Barbara_CA
401,34.942872,-120.435611,24-HR BLK AVG,0,0.0,19.9,California,Santa Barbara,Santa Maria,12134,0.0,0.0,0.063,CA,Santa Maria_CA
417,37.348497,-121.894898,24-HR BLK AVG,0,6.0,49.7,California,Santa Clara,San Jose,12476,0.0,4.0,0.098,CA,San Jose_CA
418,37.338135,-121.849783,24-HR BLK AVG,0,8.0,48.4,California,Santa Clara,San Jose,12698,,,,CA,San Jose_CA
424,40.55013,-122.38092,24 HOUR,0,1.0,67.3,California,Shasta,Redding,12769,0.0,3.0,0.075,CA,Redding_CA
431,38.102507,-122.237976,24-HR BLK AVG,0,9.0,98.8,California,Solano,Vallejo,12923,0.0,2.0,0.088,CA,Vallejo_CA
440,37.642165,-120.994212,24-HR BLK AVG,0,25.0,74.5,California,Stanislaus,Modesto,13054,0.0,21.0,0.098,CA,Modesto_CA
441,37.488317,-120.836008,24-HR BLK AVG,0,29.0,72.3,California,Stanislaus,Turlock,13146,0.0,31.0,0.099,CA,Turlock_CA
474,40.021097,-105.263382,24 HOUR,0,1.0,48.8,Colorado,Boulder,Boulder,14115,,,,CO,Boulder_CO
481,39.751184,-104.987625,24-HR BLK AVG,0,2.0,46.3,Colorado,Denver,Denver,14155,0.0,0.0,0.069,CO,Denver_CO
481,39.751184,-104.987625,24-HR BLK AVG,0,2.0,46.3,Colorado,Denver,Denver,14155,0.0,0.0,0.068,CO,Denver_CO
481,39.751184,-104.987625,24-HR BLK AVG,0,2.0,46.3,Colorado,Denver,Denver,14155,0.0,0.0,0.069,CO,Denver_CO
483,39.77949,-105.00518,24-HR BLK AVG,0,1.0,41.2,Colorado,Denver,Denver,14294,0.0,0.0,0.069,CO,Denver_CO
483,39.77949,-105.00518,24-HR BLK AVG,0,1.0,41.2,Colorado,Denver,Denver,14294,0.0,0.0,0.069,CO,Denver_CO
483,39.77949,-105.00518,24-HR BLK AVG,0,1.0,41.2,Colorado,Denver,Denver,14294,0.0,0.0,0.069,CO,Denver_CO
484,39.73217,-105.0153,24-HR BLK AVG,0,1.0,42.0,Colorado,Denver,Denver,14426,,,,CO,Denver_CO
485,39.7861,-104.9886,24-HR BLK AVG,0,1.0,37.6,Colorado,Denver,Denver,14459,,,,CO,Denver_CO
490,38.848014,-104.828564,24-HR BLK AVG,0,1.0,41.6,Colorado,El Paso,Colorado Springs,14539,,,,CO,Colorado Springs_CO
521,40.571288,-105.079693,24-HR BLK AVG,0,1.0,59.8,Colorado,Larimer,Fort Collins,15682,,,,CO,Fort Collins_CO
539,38.276099,-104.597613,24 HOUR,0,1.0,38.5,Colorado,Pueblo,Pueblo,16090,,,,CO,Pueblo_CO
547,40.414877,-104.70693,24-HR BLK AVG,0,2.0,61.7,Colorado,Weld,Greeley,16246,,,,CO,Greeley_CO
584,29.706111,-82.387778,24 HOUR,0,0.0,17.7,Florida,Alachua,Gainesville,17586,,,,FL,Gainesville_FL
588,28.053611,-80.628611,24 HOUR,0,0.0,24.7,Florida,Brevard,Melbourne,17632,0.0,0.0,0.066,FL,Melbourne_FL
592,26.053889,-80.256944,24-HR BLK AVG,0,0.0,24.0,Florida,Broward,Davie,17674,0.0,1.0,0.071,FL,Davie_FL
593,26.132677,-80.169817,24-HR BLK AVG,0,0.0,28.9,Florida,Broward,Fort Lauderdale,17854,,,,FL,Fort Lauderdale_FL
601,30.356339,-81.635396,24 HOUR,0,0.0,28.6,Florida,Duval,Jacksonville,17981,,,,FL,Jacksonville_FL
607,30.135797,-81.633981,24 HOUR,0,0.0,19.8,Florida,Duval,Jacksonville,18034,,,,FL,Jacksonville_FL
608,30.354722,-81.547778,24 HOUR,0,0.0,24.4,Florida,Duval,Jacksonville,18051,,,,FL,Jacksonville_FL
612,30.262778,-81.606833,24-HR BLK AVG,0,0.0,22.7,Florida,Duval,Jacksonville,18093,,,,FL,Jacksonville_FL
623,27.955133,-82.469532,24-HR BLK AVG,0,0.0,33.7,Florida,Hillsborough,Tampa,18190,,,,FL,Tampa_FL
635,30.439722,-84.346389,24 HOUR,0,0.0,15.9,Florida,Leon,Tallahassee,18544,0.0,0.0,0.066,FL,Tallahassee_FL
652,25.794222,-80.215556,24 HOUR,0,0.0,23.3,Florida,Miami-Dade,Miami,18798,,,,FL,Miami_FL
659,28.53493,-81.384247,24-HR BLK AVG,0,0.0,30.4,Florida,Orange,Orlando,18872,,,,FL,Orlando_FL
673,27.986283,-82.78215,24 HOUR,0,0.0,24.4,Florida,Pinellas,Clearwater,19200,,,,FL,Clearwater_FL
679,28.028889,-81.972222,24 HOUR,0,0.0,15.2,Florida,Polk,Lakeland,19240,0.0,4.0,0.08,FL,Lakeland_FL
691,32.777465,-83.640996,24 HOUR,0,0.0,16.3,Georgia,Bibb,Macon,19504,,,,GA,Macon_GA
692,32.805264,-83.543493,24-HR BLK AVG,0,0.0,21.3,Georgia,Bibb,Macon,19591,0.0,0.0,0.068,GA,Macon_GA
696,32.090779,-81.130222,24-HR BLK AVG,0,0.0,23.8,Georgia,Chatham,Savannah,19827,,,,GA,Savannah_GA
707,31.5776,-84.0998,24-HR BLK AVG,0,1.0,55.7,Georgia,Dougherty,Albany,20501,,,,GA,Albany_GA
711,33.802241,-84.435618,24 HOUR,0,0.0,20.8,Georgia,Fulton,Atlanta,20616,,,,GA,Atlanta_GA
713,33.7784,-84.3914,24 HOUR,0,0.0,26.1,Georgia,Fulton,Atlanta,20637,,,,GA,Atlanta_GA
718,32.6056,-83.5978,24 HOUR,0,0.0,21.3,Georgia,Houston,Warner Robins,20704,,,,GA,Warner Robins_GA
729,33.4339,-82.0224,24-HR BLK AVG,0,0.0,34.9,Georgia,Richmond,Augusta,20892,0.0,0.0,0.061,GA,Augusta_GA
743,21.30758,-157.85542,24-HR BLK AVG,0,0.0,16.0,Hawaii,Honolulu,Honolulu,21509,,,,HI,Honolulu_HI
744,21.303382,-157.871171,24-HR BLK AVG,0,0.0,16.1,Hawaii,Honolulu,Honolulu,21525,0.0,0.0,0.05,HI,Honolulu_HI
797,41.687165,-87.539315,24 HOUR,0,0.0,23.9,Illinois,Cook,Chicago,22363,,,,IL,Chicago_IL
799,41.965485,-87.749928,24 HOUR,0,0.0,24.7,Illinois,Cook,Chicago,22388,,,,IL,Chicago_IL
800,41.912739,-87.722673,24 HOUR,0,0.0,25.0,Illinois,Cook,Chicago,22394,,,,IL,Chicago_IL
802,41.7514,-87.713488,24 HOUR,0,0.0,23.2,Illinois,Cook,Chicago,22483,0.0,11.0,0.096,IL,Chicago_IL
814,41.771071,-88.152534,24-HR BLK AVG,0,0.0,26.2,Illinois,DuPage,Naperville,23040,,,,IL,Naperville_IL
821,42.050403,-88.280015,24 HOUR,0,0.0,22.2,Illinois,Kane,Elgin,23171,,,,IL,Elgin_IL
823,41.784717,-88.329374,24 HOUR,0,0.0,22.0,Illinois,Kane,Aurora,23181,,,,IL,Aurora_IL
828,39.866834,-88.925594,24-HR BLK AVG,0,0.0,23.6,Illinois,Macon,Decatur,23235,0.0,3.0,0.073,IL,Decatur_IL
844,40.697007,-89.584737,24-HR BLK AVG,0,0.0,23.9,Illinois,Peoria,Peoria,23473,,,,IL,Peoria_IL
852,41.526885,-88.116474,24 HOUR,0,0.0,29.3,Illinois,Will,Joliet,23570,,,,IL,Joliet_IL
854,42.263081,-89.092767,24 HOUR,0,0.0,28.2,Illinois,Winnebago,Rockford,23587,,,,IL,Rockford_IL
857,41.094965,-85.101816,24-HR BLK AVG,0,0.0,28.9,Indiana,Allen,Fort Wayne,23601,0.0,1.0,0.071,IN,Fort Wayne_IN
867,40.199502,-85.387908,24 HOUR,0,0.0,20.5,Indiana,Delaware,Muncie,23869,,,,IN,Muncie_IN
888,41.606662,-87.304943,24-HR BLK AVG,0,1.0,65.4,Indiana,Lake,Gary,24282,0.0,3.0,0.079,IN,Gary_IN
889,41.573282,-87.406579,24 HOUR,119,0.0,27.9,Indiana,Lake,Gary,24477,,,,IN,Gary_IN
890,41.598473,-87.342947,24 HOUR,0,0.0,22.2,Indiana,Lake,Gary,24496,,,,IN,Gary_IN
914,39.159383,-86.504762,24-HR BLK AVG,0,0.0,16.9,Indiana,Monroe,Bloomington,25305,,,,IN,Bloomington_IN
927,41.69666,-86.214722,24-HR BLK AVG,0,0.0,23.3,Indiana,St. Joseph,South Bend,25486,0.0,4.0,0.08,IN,South Bend_IN
932,40.431639,-86.8525,24-HR BLK AVG,0,0.0,26.2,Indiana,Tippecanoe,Lafayette,25578,,,,IN,Lafayette_IN
934,37.974436,-87.532289,24 HOUR,0,0.0,20.0,Indiana,Vanderburgh,Evansville,25619,,,,IN,Evansville_IN
935,38.013333,-87.577222,24-HR BLK AVG,0,0.0,19.3,Indiana,Vanderburgh,Evansville,25697,0.0,1.0,0.071,IN,Evansville_IN
937,37.974465,-87.55802,24 HOUR,0,0.0,24.1,Indiana,Vanderburgh,Evansville,25814,,,,IN,Evansville_IN
948,42.501543,-92.316017,24 HOUR,0,0.0,19.7,Iowa,Black Hawk,Waterloo,25999,,,,IA,Waterloo_IA
957,41.657232,-91.503478,24 HOUR,0,0.0,24.1,Iowa,Johnson,Iowa City,26148,,,,IA,Iowa City_IA
961,41.97677,-91.68766,24-HR BLK AVG,0,0.0,27.5,Iowa,Linn,Cedar Rapids,26204,0.0,0.0,0.066,IA,Cedar Rapids_IA
961,41.97677,-91.68766,24-HR BLK AVG,0,0.0,27.5,Iowa,Linn,Cedar Rapids,26204,0.0,0.0,0.065,IA,Cedar Rapids_IA
970,41.603159,-93.643118,24-HR BLK AVG,0,1.0,48.1,Iowa,Polk,Des Moines,26519,0.0,0.0,0.065,IA,Des Moines_IA
970,41.603159,-93.643118,24-HR BLK AVG,0,1.0,48.1,Iowa,Polk,Des Moines,26519,0.0,0.0,0.065,IA,Des Moines_IA
983,42.499844,-96.394755,24 HOUR,0,0.0,20.3,Iowa,Woodbury,Sioux City,26993,,,,IA,Sioux City_IA
986,38.974457,-94.687013,24 HOUR,0,0.0,21.7,Kansas,Johnson,Overland Park,27058,,,,KS,Overland Park_KS
991,37.651114,-97.362212,24 HOUR,0,0.0,20.9,Kansas,Sedgwick,Wichita,27104,,,,KS,Wichita_KS
992,37.702066,-97.314847,24-HR BLK AVG,0,0.0,32.8,Kansas,Sedgwick,Wichita,27120,0.0,0.0,0.07,KS,Wichita_KS
994,37.747085,-97.316912,24 HOUR,0,0.0,20.0,Kansas,Sedgwick,Wichita,27216,,,,KS,Wichita_KS
995,39.024265,-95.711275,24-HR BLK AVG,0,0.0,25.9,Kansas,Shawnee,Topeka,27225,0.0,0.0,0.066,KS,Topeka_KS
1000,39.117219,-94.635605,24-HR BLK AVG,0,0.0,32.1,Kansas,Wyandotte,Kansas City,27336,0.0,1.0,0.071,KS,Kansas City_KS
1018,38.23319,-85.81566,24-HR BLK AVG,0,0.0,23.5,Kentucky,Jefferson,Louisville,27976,,,,KY,Louisville_KY
1019,38.06091,-85.89804,24-HR BLK AVG,0,0.0,23.4,Kentucky,Jefferson,Louisville,28003,0.0,1.0,0.072,KY,Louisville_KY
1020,38.22876,-85.65452,24-HR BLK AVG,0,0.0,23.7,Kentucky,Jefferson,Louisville,28027,0.0,4.0,0.074,KY,Louisville_KY
1021,38.1936,-85.7119,24 HOUR,0,0.0,24.4,Kentucky,Jefferson,Louisville,28143,,,,KY,Louisville_KY
1042,32.471819,-93.795179,24 HOUR,0,0.0,18.5,Louisiana,Caddo,Shreveport,28588,,,,LA,Shreveport_LA
1048,30.461981,-91.179219,24-HR BLK AVG,0,0.0,30.7,Louisiana,East Baton Rouge,Baton Rouge,28640,0.0,4.0,0.078,LA,Baton Rouge_LA
1057,30.22611,-92.042908,24 HOUR,0,0.0,28.5,Louisiana,Lafayette,Lafayette,28892,0.0,1.0,0.072,LA,Lafayette_LA
1061,29.996013,-90.11819,24 HOUR,0,0.0,24.5,Louisiana,Orleans,New Orleans,28928,,,,LA,New Orleans_LA
1144,39.34465,-76.68538,24 HOUR,0,0.0,22.4,Maryland,Baltimore (City),Baltimore,31028,,,,MD,Baltimore_MD
